I1215 21:14:04.597767       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1215 21:14:04.869182       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1215 21:14:04.869190       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1215 21:14:04.869840       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
I1215 21:14:04.869847       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rr9xh_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1215 21:14:04.869853       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rr9xh_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1215 21:14:04.870526       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rr9xh_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1215 21:14:04.870532       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rr9xh_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1215 21:14:04.871551       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 27
I1215 21:14:04.871571       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 27
I1215 21:14:04.871576       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 27
I1215 21:14:04.871582       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 26
I1215 21:14:04.873140       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-rr9xh", node "ip-172-20-45-201.ec2.internal"
I1215 21:14:04.873169       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-rr9xh", node "ip-172-20-45-201.ec2.internal": all PVCs bound and nothing to do
I1215 21:14:04.875451       1 factory.go:610] Attempting to bind green-k8s-test-688d6758c6-rr9xh to ip-172-20-45-201.ec2.internal


### green-k8s-scheduler ###

I1217 20:02:04.232762       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1217 20:02:05.129223       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-688d6758c6-t292f
I1217 20:02:05.129338       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-688d6758c6-t292f
I1217 20:02:05.129489       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1217 20:02:05.142399       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-t292f on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1217 20:02:05.142542       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-t292f on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 1 out of 110 Pods.
I1217 20:02:05.142563       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-t292f on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1217 20:02:05.142579       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-t292f on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1217 20:02:05.143127       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1217 20:02:05.142595       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-t292f on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1217 20:02:05.143566       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1217 20:02:05.143836       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1217 20:02:05.143732       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 9,
I1217 20:02:05.143755       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 9,
I1217 20:02:05.143773       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1217 20:02:05.146401       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 7,
I1217 20:02:05.146728       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 6,
I1217 20:02:05.146922       1 resource_allocation.go:84] green-k8s-test-688d6758c6-t292f -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1217 20:02:05.147309       1 selector_spreading.go:146] green-k8s-test-688d6758c6-t292f -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 20:02:05.147448       1 selector_spreading.go:146] green-k8s-test-688d6758c6-t292f -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 20:02:05.147589       1 selector_spreading.go:146] green-k8s-test-688d6758c6-t292f -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 20:02:05.147682       1 selector_spreading.go:146] green-k8s-test-688d6758c6-t292f -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 20:02:05.147811       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 20:02:05.147951       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 20:02:05.148051       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 20:02:05.148159       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 20:02:05.177071       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1217 20:02:05.177103       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (7)
I1217 20:02:05.177117       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (2)
I1217 20:02:05.177123       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-t292f_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
I1217 20:02:05.177323       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 27
I1217 20:02:05.177330       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 34
I1217 20:02:05.177335       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 28
I1217 20:02:05.177341       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 37
I1217 20:02:05.177390       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-t292f", node "ip-172-20-58-134.ec2.internal"
I1217 20:02:05.177483       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-t292f", node "ip-172-20-58-134.ec2.internal": all PVCs bound and nothing to do
I1217 20:02:05.177574       1 factory.go:610] Attempting to bind green-k8s-test-688d6758c6-t292f to ip-172-20-58-134.ec2.internal
