### Default ###

I1217 12:54:09.867049       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1217 17:08:16.054407       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1217 17:08:16.054559       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1217 17:08:16.054681       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1217 17:08:16.054978       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 9,
I1217 17:08:16.055156       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 7,
I1217 17:08:16.056434       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 9,
I1217 17:08:16.058761       1 resource_allocation.go:84] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 6,
I1217 17:08:16.059001       1 selector_spreading.go:146] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 17:08:16.059118       1 selector_spreading.go:146] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 17:08:16.059252       1 selector_spreading.go:146] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 17:08:16.059345       1 selector_spreading.go:146] green-k8s-test-688d6758c6-b4lpk -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
I1217 17:08:16.060840       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 17:08:16.061003       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 17:08:16.061088       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 17:08:16.061219       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1217 17:08:16.111435       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (8)
I1217 17:08:16.111499       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1217 17:08:16.111566       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (10)
I1217 17:08:16.111586       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-b4lpk_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (5)
I1217 17:08:16.111624       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 35
I1217 17:08:16.111647       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 27
I1217 17:08:16.111665       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 37
I1217 17:08:16.111735       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 31
I1217 17:08:16.112036       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-b4lpk", node "ip-172-20-49-41.ec2.internal"
I1217 17:08:16.112060       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-b4lpk", node "ip-172-20-49-41.ec2.internal": all PVCs bound and nothing to do
I1217 17:08:16.112207       1 factory.go:610] Attempting to bind green-k8s-test-688d6758c6-b4lpk to ip-172-20-49-41.ec2.internal
