#### 1 Pod ####
I1219 14:03:07.771625       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:03:09.222632       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1219 14:03:09.222660       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 33
I1219 14:03:09.222668       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 26
I1219 14:03:09.222674       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 37
I1219 14:03:09.222679       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 27
I1219 14:03:09.222869       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-rf88f", node "ip-172-20-58-134.ec2.internal"
I1219 14:03:09.222893       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-rf88f", node "ip-172-20-58-134.ec2.internal": all PVCs bound and nothing to do
I1219 14:03:09.223043       1 factory.go:610] Attempting to bind green-k8s-test-688d6758c6-rf88f to ip-172-20-58-134.ec2.internal

#### 2 Pod #####

I1219 14:07:34.981521       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:07:36.991330       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-688d6758c6-wptlw
I1219 14:07:36.991490       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-688d6758c6-wptlw
I1219 14:07:36.991702       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1219 14:07:36.992039       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-wptlw on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 1 out of 110 Pods.
I1219 14:07:36.992071       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-wptlw on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:07:36.992083       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-wptlw on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 14:07:36.992414       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 14:07:36.992564       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-wptlw on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:07:36.992589       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-wptlw on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:07:36.992818       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 9,
I1219 14:07:36.995612       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 7,
I1219 14:07:36.995761       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 9,
I1219 14:07:36.995908       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 6,
I1219 14:07:36.996957       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:702545920] ,score 9,
I1219 14:07:36.998560       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:702545920] ,score 6,
I1219 14:07:36.998699       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1219 14:07:36.998877       1 resource_allocation.go:84] green-k8s-test-688d6758c6-wptlw -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1219 14:07:36.999893       1 selector_spreading.go:146] green-k8s-test-688d6758c6-wptlw -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:07:37.000022       1 selector_spreading.go:146] green-k8s-test-688d6758c6-wptlw -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:07:37.000134       1 selector_spreading.go:146] green-k8s-test-688d6758c6-wptlw -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 14:07:37.001937       1 selector_spreading.go:146] green-k8s-test-688d6758c6-wptlw -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:07:37.002070       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 14:07:37.003231       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 14:07:37.003372       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 14:07:37.003463       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (3)

I1219 14:07:37.016127       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:07:37.027772       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (9)
I1219 14:07:37.027794       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (0)
I1219 14:07:37.027801       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
I1219 14:07:37.027806       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-wptlw_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1219 14:07:37.027847       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 29
I1219 14:07:37.027854       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 19
I1219 14:07:37.027860       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 26
I1219 14:07:37.027865       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 20
I1219 14:07:37.027958       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-wptlw", node "ip-172-20-49-41.ec2.internal"
I1219 14:07:37.027982       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-688d6758c6-wptlw", node "ip-172-20-49-41.ec2.internal": all PVCs bound and nothing to do
I1219 14:07:37.028053       1 factory.go:610] Attempting to bind green-k8s-test-688d6758c6-wptlw to ip-172-20-49-41.ec2.internal

### 3 Pod ####

I1219 14:12:08.762501       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:12:10.478152       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-lnxl6
I1219 14:12:10.478217       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-lnxl6
I1219 14:12:10.478371       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1219 14:12:10.478413       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-lnxl6 on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:12:10.478435       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-lnxl6 on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:12:10.478447       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-lnxl6 on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 14:12:10.478459       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 14:12:10.478471       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-lnxl6 on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:12:10.478484       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-lnxl6 on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:12:10.480733       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 9,
I1219 14:12:10.480768       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 6,
I1219 14:12:10.480787       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
I1219 14:12:10.481658       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 6,
I1219 14:12:10.481751       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 8,
I1219 14:12:10.481767       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 5,
I1219 14:12:10.481786       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 14:12:10.481798       1 resource_allocation.go:84] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 14:12:10.481840       1 selector_spreading.go:146] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 14:12:10.481908       1 selector_spreading.go:146] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:12:10.481924       1 selector_spreading.go:146] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 14:12:10.481931       1 selector_spreading.go:146] green-k8s-test-65bb774986-lnxl6 -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:12:10.481937       1 generic_scheduler.go:773] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 14:12:10.481942       1 generic_scheduler.go:773] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 14:12:10.481948       1 generic_scheduler.go:773] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 14:12:10.481953       1 generic_scheduler.go:773] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 14:12:10.515777       1 generic_scheduler.go:822] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (5)
I1219 14:12:10.515857       1 generic_scheduler.go:822] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (0)
I1219 14:12:10.515883       1 generic_scheduler.go:822] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
I1219 14:12:10.515903       1 generic_scheduler.go:822] green-k8s-test-65bb774986-lnxl6_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1219 14:12:10.515933       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 21
I1219 14:12:10.515953       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 19
I1219 14:12:10.515972       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 24
I1219 14:12:10.516021       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 19
I1219 14:12:10.516126       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-lnxl6", node "ip-172-20-58-134.ec2.internal"
I1219 14:12:10.517164       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-lnxl6", node "ip-172-20-58-134.ec2.internal": all PVCs bound and nothing to do
I1219 14:12:10.518193       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-lnxl6 to ip-172-20-58-134.ec2.internal


#### 4 Pod ####

I1219 14:16:36.279765       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:16:37.010995       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-6xhtm
I1219 14:16:37.011268       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-6xhtm
I1219 14:16:37.011556       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1219 14:16:37.011701       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-6xhtm on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:16:37.011855       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-6xhtm on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:16:37.011977       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-6xhtm on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 14:16:37.012078       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 14:16:37.012187       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-6xhtm on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 4 out of 110 Pods.
I1219 14:16:37.013260       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-6xhtm on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:16:37.013593       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 9,
I1219 14:16:37.013854       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 6,
I1219 14:16:37.013742       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
I1219 14:16:37.014098       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 6,
I1219 14:16:37.013810       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:650 memory:912261120] ,score 8,
I1219 14:16:37.014335       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:650 memory:912261120] ,score 4,
I1219 14:16:37.013828       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 14:16:37.015029       1 resource_allocation.go:84] green-k8s-test-65bb774986-6xhtm -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 14:16:37.015188       1 selector_spreading.go:146] green-k8s-test-65bb774986-6xhtm -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (1)
I1219 14:16:37.015318       1 selector_spreading.go:146] green-k8s-test-65bb774986-6xhtm -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:16:37.015392       1 selector_spreading.go:146] green-k8s-test-65bb774986-6xhtm -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 14:16:37.015663       1 selector_spreading.go:146] green-k8s-test-65bb774986-6xhtm -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 14:16:37.015782       1 generic_scheduler.go:773] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (1)
I1219 14:16:37.018477       1 generic_scheduler.go:773] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 14:16:37.018638       1 generic_scheduler.go:773] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 14:16:37.018759       1 generic_scheduler.go:773] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 14:16:37.047491       1 generic_scheduler.go:822] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (8)
I1219 14:16:37.047607       1 generic_scheduler.go:822] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (1)
I1219 14:16:37.047624       1 generic_scheduler.go:822] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
I1219 14:16:37.047630       1 generic_scheduler.go:822] green-k8s-test-65bb774986-6xhtm_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1219 14:16:37.047642       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 25
I1219 14:16:37.047655       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 20
I1219 14:16:37.047660       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 23
I1219 14:16:37.047666       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 19
I1219 14:16:37.047767       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-6xhtm", node "ip-172-20-49-41.ec2.internal"
I1219 14:16:37.047789       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-6xhtm", node "ip-172-20-49-41.ec2.internal": all PVCs bound and nothing to do
I1219 14:16:37.047931       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-6xhtm to ip-172-20-49-41.ec2.internal

### 5 Pod ###

I1219 14:21:03.960201       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:21:05.216536       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-d7wj5
I1219 14:21:05.216565       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-d7wj5
I1219 14:21:05.216831       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1219 14:21:05.216920       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d7wj5 on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:21:05.216997       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d7wj5 on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:21:05.217050       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d7wj5 on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 14:21:05.217078       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 14:21:05.217104       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d7wj5 on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 4 out of 110 Pods.
